SRUS46 KSGX 232049
RRMSGX

PRECIPITATION SUMMARY....PRELIMINARY
NATIONAL WEATHER SERVICE SAN DIEGO
147 PM PDT SUNDAY OCT 23 2022 

*STATIONS ABOVE THE FREEZING LEVEL MAY NOT SHOW
 ACCURATE ACCUMULATING PRECIPITATION.

   24 HOUR PRECIPITATION TOTALS AS OF 147 PM SUNDAY

.TOP RAINFALL AMOUNTS FROM ALL ZONES...

        STATION              PRECIP(IN)    ELEVATION(FT)

     1. PALOMAR CRS            0.90        5387
     2. LAKE CUYAMACA          0.70        4560
     3. BIRCH HILL             0.66        5645
     4. VOLCAN MOUNTAIN        0.63        5410
     5. DESCANSO RS            0.58        3650
     6. JULIAN RAWS            0.55        4240
        HEAPS PEAK RAWS        0.55        6350
     8. MESA GRANDE            0.54        3204
     9. JULIAN                 0.53        4230
    10. HENSHAW DAM            0.49        2750

-------------------------------------------------------------

.SAN DIEGO COUNTY COASTAL AREAS...         

ID      STATION                PRECIP(IN)    ELEVATION(FT)
CAPC1   BELL CANYON               0.01          700

.SANTA ANA MOUNTAINS...    

ID      STATION                PRECIP(IN)    ELEVATION(FT)

INZC1   INDIAN CANYON             0.12         4256
UHCC1   UPPER HARDING CYN         0.12         4254
ELOC1   EL CARISO                 0.08         2600
HTFC1   HORSETHIEF/RICE CYN       0.08         4054
SYLC1   SYLVAN MEADOWS            0.08         1892
LDYC1   LEACH/DICKEY CANYON       0.08         2705
SRUC1   SANTA ROSA PLATEAU        0.08         1980
ECSC1   EL CARISO RAWS            0.08         2660
MVIC1   MCVICKER CANYON           0.04         4250

.SAN BERNARDINO COUNTY VALLEYS-THE INLAND EMPIRE...  

ID      STATION                PRECIP(IN)    ELEVATION(FT)

DVEC1   DEVORE FIRE STATION       0.36         2080
DCDC1   DEMENS CK DEBRIS BSN      0.27         1900

.RIVERSIDE COUNTY VALLEYS-THE INLAND EMPIRE...  

ID      STATION                PRECIP(IN)    ELEVATION(FT)

CNSC1   CRANSTON RAWS             0.09         1950
FVAC1   FRENCH VALLEY AIRPORT     0.04          909
SJTC1   SAN JACINTO NORTH         0.04         1511
TEMC1   TEMECULA                  0.03         1180

.RIVERSIDE COUNTY MOUNTAINS...   

ID      STATION                PRECIP(IN)    ELEVATION(FT)

SDPCD   PINE COVE DUTCH FLAT      0.41         5763
VGRC1   VISTA GRANDE RAWS         0.35         4700
AGLC1   ANGELES HILL              0.32         3920
ALNC1   ALLANDALE                 0.31         5800
SDPCR   PINE COVE ROCKY POINT     0.30         6550
POPC1   POPPET FLAT RAWS          0.25         3830
UPSC1   SNOW CK 7N IDYLLWILD      0.23         6800
KNWC1   KEENWILD RAWS             0.22         4920
VTGC1   VISTA GRANDE              0.20         4939
HMMC1   SAGE RAWS                 0.20         2560
LYMC1   TICK RIDGE                0.12         4236
LVDC1   LIVE OAK CANYON           0.04         6000
THNC1   THOMAS MOUNTAIN           0.03         6815
SDPCW   PINE COVE WEST            0.01         6250

.COACHELLA VALLEY...   

  NO PRECIPITATION REPORTED

.SAN BERNARDINO COUNTY MOUNTAINS...   

ID      STATION                PRECIP(IN)    ELEVATION(FT)

HHPC1   HEAPS PEAK RAWS           0.55         6350
LTLC1   LYTLE CREEK RAWS          0.41         2790
RUSC1   RUNNING SPRINGS FS        0.41         6076
MTBC1   MT BALDY                  0.15         4300
MZTC1   MANZANITA FLATS           0.12         3920
GLPC1   BIG BEAR LAKE DAM         0.08         6820
MFLC1   MIDDLE FK LYTLE CREEK     0.07         3740
BBLC1   BIG BEAR LAKE             0.05         6768
CVEC1   CONVERSE RAWS             0.02         5200
FWSC1   FAWNSKIN RAWS             0.02         6903

.APPLE AND LUCERNE VALLEYS...   

  NO PRECIPITATION REPORTED

&&

NOTICE...THIS REPORT CONTAINS PROVISIONAL DATA FROM AUTOMATED
GAUGES. THE ACCURACY OF THIS DATA HAS NOT BE VERIFIED.

$$
