SHUS64 KMWI 232131
FWOFWD
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:27 GMT
 
Listing of Forecasted Observations (Dallas/Fort Worth, TX)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
MCKINN 419604 221027 13 F 1  69  43  40 1 1 158 11  0  71  45  89  31   0   0
MCKINN 419604 221028 13 F 2  61  50  69 1 2  23 10  0  72  51  96  38   0   0
MCKINN 419604 221029 13 F 1  66  48  53 2 2 360  8  0  66  48 100  53   0   0
MCKINN 419604 221030 13 F 1  68  48  49 1 1 225  8  0  68  47  96  49   0   0
CEDAR  419701 221024 13 F 8  69  65  88 1 4 225 17  0  87  68  97  40   0   6
CEDAR  419701 221025 13 F 0  65  41  43 4 3 315 17  0  70  50 100  43   5   0
CEDAR  419701 221026 13 F 0  69  40  36 1 1 113  5  0  69  48  74  34   0   0
CEDAR  419701 221027 13 F 1  69  46  44 1 2 158 10  0  70  46  89  33   0   0
CEDAR  419701 221028 13 F 2  62  55  80 2 2  23 10  0  73  52 100  41   0   0
CEDAR  419701 221029 13 F 1  65  50  59 2 2 360  8  0  65  51  96  58   0   0
CEDAR  419701 221030 13 F 1  67  49  53 1 1 225  6  0  68  48  93  52   0   0
GRANBU 419702 221024 13 F 8  70  62  77 1 4 315 13  0  87  67 100  38   0   6
GRANBU 419702 221025 13 F 0  68  41  38 4 3 315 17  0  74  49  87  35   0   0
GRANBU 419702 221026 13 F 0  71  42  35 1 1 135  6  0  71  44  86  30   0   0
GRANBU 419702 221027 13 F 1  72  48  44 1 2 180 11  0  73  46  89  30   0   0
GRANBU 419702 221028 13 F 1  64  55  73 2 2 360 10  0  75  53  96  38   0   0
GRANBU 419702 221029 13 F 1  65  49  57 2 2 360  8  0  66  47 100  53   0   0
GRANBU 419702 221030 13 F 1  68  48  49 1 1 203  6  0  69  44 100  46   0   0
TERREL 419703 221024 13 F 8  73  66  81 1 4 180 18  0  84  69  90  40   0   4
TERREL 419703 221025 13 F 0  64  42  46 4 4 315 18  0  73  53  97  46  11   0
TERREL 419703 221026 13 F 0  68  42  39 1 1  90  5  0  68  44  89  39   0   0
TERREL 419703 221027 13 F 1  70  45  42 1 1 158 10  0  70  45  89  38   0   0
TERREL 419703 221028 13 F 2  63  53  71 1 2  23 11  0  73  52  96  38   0   0
TERREL 419703 221029 13 F 1  65  49  57 2 2 360  9  0  65  48 100  57   0   0
TERREL 419703 221030 13 F 1  67  49  54 1 1 270  6  0  68  45 100  51   0   0
TEMPLE 419801 221024 13 F 8  74  70  89 1 4 180 17  0  85  70  97  44   0   4
TEMPLE 419801 221025 13 F 0  69  43  40 4 4 315 18  0  74  52 100  38   5   0
TEMPLE 419801 221026 13 F 0  73  43  35 1 1 113  5  0  73  44  89  34   0   0
TEMPLE 419801 221027 13 F 1  74  51  46 1 1 158 10  0  76  47  93  31   0   0
TEMPLE 419801 221028 13 F 1  69  59  72 1 3 338 10  0  77  56 100  42   0   0
TEMPLE 419801 221029 13 F 1  67  51  58 2 1 360 10  0  70  51 100  56   0   0
TEMPLE 419801 221030 13 F 0  70  51  51 1 1 225  6  0  70  46 100  50   0   0
MCGREG 419802 221024 13 F 8  73  68  85 1 4 180 17  0  87  70  93  39   0   5
MCGREG 419802 221025 13 F 0  68  42  39 4 3 315 18  0  73  51  93  39   5   0
MCGREG 419802 221026 13 F 0  72  42  34 1 1 113  5  0  72  46  77  34   0   0
MCGREG 419802 221027 13 F 1  73  50  45 1 2 158 11  0  74  47  86  33   0   0
MCGREG 419802 221028 13 F 1  67  57  71 2 3 338 10  0  76  55 100  43   0   0
MCGREG 419802 221029 13 F 1  67  50  56 2 1 360 10  0  69  50  96  54   0   0
MCGREG 419802 221030 13 F 0  70  50  50 1 1 225  8  0  70  46 100  50   0   0
WACO R 419803 221024 13 F 8  73  67  84 1 4 180 16  0  88  71  90  39   0   5
WACO R 419803 221025 13 F 0  68  41  38 4 4 315 18  0  73  53  93  38   5   0
WACO R 419803 221026 13 F 0  72  42  34 1 1 113  5  0  72  44  89  33   0   0
WACO R 419803 221027 13 F 1  75  49  40 1 1 158 10  0  75  47  89  33   0   0
WACO R 419803 221028 13 F 1  67  54  65 1 3 360 11  0  78  56  93  36   0   0
WACO R 419803 221029 13 F 1  69  50  51 2 1 360 10  0  69  51  96  51   0   0
WACO R 419803 221030 13 F 1  72  49  45 1 1 203  8  0  72  46 100  44   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 21:31:27 GMT

